id,slug,title,content,deleted_at
156,ipad-a16-wifi-1755234347,iPad A16 WiFi,"<p><a href=\""https://www.topzone.vn/ipad/ipad-11-wifi-128gb\""><img alt=\""iPad 11 (A16) WiFi 128GB - T?ng Quan\"" src=\""https://cdnv2.tgdd.vn/mwg-static//522/335308/s16/ipad-11-wifi-128gb-100325-112731-074.jpg\"" /><img alt=\""iPad 11 (A16) WiFi 128GB - Thông S? K? Thu?t\"" src=\""https://cdnv2.tgdd.vn/mwg-static//522/335308/s16/ipad-11-wifi-128gb-100325-112731-763.jpg\"" /><img alt=\""iPad 11 (A16) WiFi 128GB - So Sánh\"" src=\""https://cdnv2.tgdd.vn/mwg-static//522/335308/s16/ipad-11-wifi-128gb-100325-112730-428.jpg\"" /></a></p>\r\n\r\n<p>&nbsp;</p>\r\n\r\n<p><strong>N?i dung t&iacute;nh nang</strong></p>\r\n\r\n<p>iPad 11 inch hi?n gi&agrave;u nang l?c hon bao gi? h?t v?i chip A16 si&ecirc;u nhanh, m&agrave;n h&igrave;nh Liquid Retina,1&nbsp;camera ti&ecirc;n ti?n, k?t n?i Wi-Fi 6 v&agrave; 5G t?c d? cao,2&nbsp;d?u n?i USB-C v&agrave; b?n m&agrave;u l?ng l?y. iPad mang d?n m?t c&ocirc;ng c? m?nh m? d? s&aacute;ng t?o, duy tr&igrave; k?t n?i v&agrave; ho&agrave;n th&agrave;nh m?i vi?c, v?i m?c gi&aacute; v&ocirc; c&ugrave;ng ph?i chang.</p>\r\n\r\n<p><strong>Ph&aacute;p l&yacute;</strong></p>\r\n\r\n<p>Ph? ki?n du?c b&aacute;n ri&ecirc;ng v&agrave; t&ugrave;y thu?c ngu?n h&agrave;ng c&oacute; s?n. Kh? nang tuong th&iacute;ch t&ugrave;y thu?c th? h? s?n ph?m. ?ng d?ng c&oacute; s?n tr&ecirc;n App Store. N?i dung du?c cung c?p c&oacute; th? thay d?i. Ph?n m?m b&ecirc;n th? ba du?c b&aacute;n ri&ecirc;ng.</p>\r\n\r\n<p>1M&agrave;n h&igrave;nh c&oacute; c&aacute;c g&oacute;c bo tr&ograve;n. Khi t&iacute;nh theo du?ng ch&eacute;o h&igrave;nh ch? nh?t, iPad 11 inch c&oacute; k&iacute;ch thu?c l&agrave; 10,86 inch. Di?n t&iacute;ch hi?n th? th?c t? nh? hon.</p>\r\n\r\n<p>2C?n c&oacute; g&oacute;i cu?c d? li?u. M?ng 5G ch? kh? d?ng ? m?t s? th? tru?ng v&agrave; du?c cung c?p qua m?t s? nh&agrave; m?ng. T?c d? c&oacute; th? thay d?i t&ugrave;y d?a di?m v&agrave; nh&agrave; m?ng. Ð? bi?t th&ocirc;ng tin v? h? tr? m?ng 5G, vui l&ograve;ng li&ecirc;n h? nh&agrave; m?ng v&agrave; truy c?p apple.com/vn/ipad/cellular.</p>",NULL
157,ipad-mini-7-wifi-1755234459,iPad mini 7 WiFi,<p>&nbsp;</p>\r\n\r\n<p><a href=\"https://www.topzone.vn/ipad/ipad-mini-7-wifi\"><img alt=\"iPad mini 7 WiFi 128GB - T?ng Quan\" src=\"https://cdnv2.tgdd.vn/mwg-static/topzone/Products/Images/522/331229/ipad-mini-7-wifi-221024-042831-024.jpg\" /><img alt=\"iPad mini 7 WiFi 128GB - Thông S? K? Thu?t\" src=\"https://cdnv2.tgdd.vn/mwg-static//522/331229/s16/ipad-mini-7-wifi-221024-041904-544.jpg\" /><img alt=\"iPad mini 7 WiFi 128GB - So Sánh\" src=\"https://cdnv2.tgdd.vn/mwg-static//522/331229/s16/ipad-mini-7-wifi-221024-041905-195.jpg\" /></a></p>,NULL
158,ipad-air-m3-11-inch-wifi-1755234540,iPad Air M3 11 inch WiFi,"<p><a href=\""https://www.topzone.vn/ipad/ipad-air-m3-11-inch-wifi-128gb\""><img alt=\""iPad Air M3 11 inch WiFi 128GB - T?ng Quan\"" src=\""https://cdnv2.tgdd.vn/mwg-static//522/335267/s16/ipad-air-m3-11-inch-wifi-128gb-070325-040040-430.jpg\"" /></a></p>\r\n\r\n<p>&nbsp;</p>\r\n\r\n<p><strong>N?i dung t&iacute;nh nang</strong></p>\r\n\r\n<p>iPad Air 11 inch si&ecirc;u m?nh m? v?i chip Apple M3 nhanh nhu ch?p.1&nbsp;iPad n&agrave;y s? h?u m&agrave;n h&igrave;nh Liquid Retina s?ng d?ng, camera tru?c 12MP Center Stage cho c&aacute;c cu?c g?i video tuy?t v?i hon n?a, c&ugrave;ng Wi-Fi 6E2&nbsp;v&agrave; 5G si&ecirc;u nhanh.3&nbsp;Thi?t b? tuong th&iacute;ch v?i Apple Pencil Pro, Magic Keyboard v&agrave; Smart Folio, nh? d&oacute; b?n c&oacute; th? da nhi?m, h?c t?p, l&agrave;m vi?c, gi?i tr&iacute; v&agrave; s&aacute;ng t?o ? b?t c? d&acirc;u.</p>\r\n\r\n<p><strong>Ph&aacute;p l&yacute;</strong></p>\r\n\r\n<p>Ph? ki?n du?c b&aacute;n ri&ecirc;ng v&agrave; t&ugrave;y thu?c ngu?n h&agrave;ng c&oacute; s?n. Kh? nang tuong th&iacute;ch t&ugrave;y thu?c th? h? s?n ph?m. ?ng d?ng c&oacute; s?n tr&ecirc;n App Store. N?i dung du?c cung c?p c&oacute; th? thay d?i. Ph?n m?m b&ecirc;n th? ba du?c b&aacute;n ri&ecirc;ng.</p>\r\n\r\n<p>1M&agrave;n h&igrave;nh c&oacute; c&aacute;c g&oacute;c bo tr&ograve;n. Khi t&iacute;nh theo du?ng ch&eacute;o h&igrave;nh ch? nh?t, iPad Air 11 inch c&oacute; k&iacute;ch thu?c l&agrave; 10,86 inch. Di?n t&iacute;ch hi?n th? th?c t? nh? hon.</p>\r\n\r\n<p>2Wi-Fi 6E kh? d?ng t?i c&aacute;c qu?c gia v&agrave; khu v?c c&oacute; h? tr?.</p>\r\n\r\n<p>3C?n c&oacute; g&oacute;i cu?c d? li?u. M?ng 5G ch? kh? d?ng ? m?t s? th? tru?ng v&agrave; du?c cung c?p qua m?t s? nh&agrave; m?ng. T?c d? c&oacute; th? thay d?i t&ugrave;y d?a di?m v&agrave; nh&agrave; m?ng. Ð? bi?t th&ocirc;ng tin v? h? tr? m?ng 5G, vui l&ograve;ng li&ecirc;n h? nh&agrave; m?ng v&agrave; truy c?p apple.com/vn/ipad/cellular.</p>",NULL
159,ipad-air-m3-13-inch-wifi-1755234707,iPad Air M3 13 inch WiFi,"<p><a href=\""https://www.topzone.vn/ipad/ipad-air-m3-13-inch-wifi-128gb\""><img alt=\""iPad Air M3 13 inch WiFi 128GB - T?ng Quan\"" src=\""https://cdnv2.tgdd.vn/mwg-static//522/335275/s16/ipad-air-m3-13-inch-wifi-128gb-070325-043843-276.jpg\"" /></a></p>\r\n\r\n<p>&nbsp;</p>\r\n\r\n<p><strong>N?i dung t&iacute;nh nang</strong></p>\r\n\r\n<p>iPad Air 13 inch si&ecirc;u m?nh m? v?i chip Apple M3 nhanh nhu ch?p.1&nbsp;iPad n&agrave;y s? h?u m&agrave;n h&igrave;nh Liquid Retina s?ng d?ng, camera tru?c 12MP Center Stage cho c&aacute;c cu?c g?i video tuy?t v?i hon n?a, c&ugrave;ng Wi-Fi 6E2&nbsp;v&agrave; 5G si&ecirc;u nhanh.3&nbsp;Thi?t b? tuong th&iacute;ch v?i Apple Pencil Pro, Magic Keyboard v&agrave; Smart Folio, nh? d&oacute; b?n c&oacute; th? da nhi?m, h?c t?p, l&agrave;m vi?c, gi?i tr&iacute; v&agrave; s&aacute;ng t?o ? b?t c? d&acirc;u.</p>\r\n\r\n<p><strong>Ph&aacute;p l&yacute;</strong></p>\r\n\r\n<p>Ph? ki?n du?c b&aacute;n ri&ecirc;ng v&agrave; t&ugrave;y thu?c ngu?n h&agrave;ng c&oacute; s?n. Kh? nang tuong th&iacute;ch t&ugrave;y thu?c th? h? s?n ph?m. ?ng d?ng c&oacute; s?n tr&ecirc;n App Store. N?i dung du?c cung c?p c&oacute; th? thay d?i. Ph?n m?m b&ecirc;n th? ba du?c b&aacute;n ri&ecirc;ng.</p>\r\n\r\n<p>1M&agrave;n h&igrave;nh c&oacute; c&aacute;c g&oacute;c bo tr&ograve;n. Khi t&iacute;nh theo du?ng ch&eacute;o h&igrave;nh ch? nh?t, iPad Air 13 inch c&oacute; k&iacute;ch thu?c l&agrave; 12,9 inch. Di?n t&iacute;ch hi?n th? th?c t? nh? hon.</p>\r\n\r\n<p>2Wi-Fi 6E kh? d?ng t?i c&aacute;c qu?c gia v&agrave; khu v?c c&oacute; h? tr?.</p>\r\n\r\n<p>3C?n c&oacute; g&oacute;i cu?c d? li?u. M?ng 5G ch? kh? d?ng ? m?t s? th? tru?ng v&agrave; du?c cung c?p qua m?t s? nh&agrave; m?ng. T?c d? c&oacute; th? thay d?i t&ugrave;y d?a di?m v&agrave; nh&agrave; m?ng. Ð? bi?t th&ocirc;ng tin v? h? tr? m?ng 5G, vui l&ograve;ng li&ecirc;n h? nh&agrave; m?ng v&agrave; truy c?p apple.com/vn/ipad/cellular.</p>",NULL
160,ipad-pro-m4-11-inch-wifi-1755235229,iPad Pro M4 11 inch WiFi,"<p><img alt=\""iPad Pro M4 11 inch WiFi 256GB - T?ng Quan\"" src=\""https://cdn.tgdd.vn/Products/Images/522/325513/s16/ipad-pro-m4-11-inch-wifi-256gb-1.jpg\"" /><img alt=\""iPad Pro M4 11 inch WiFi 256GB - Thông S? K? Thu?t\"" src=\""https://cdn.tgdd.vn/Products/Images/522/325513/s16/ipad-pro-m4-11-inch-wifi-256gb-2.jpg\"" /><img alt=\""iPad Pro M4 11 inch WiFi 256GB - Lý Do Dùng iPad\"" src=\""https://cdn.tgdd.vn/Products/Images/522/325513/s16/ipad-pro-m4-11-inch-wifi-256gb-3.jpg\"" /><img alt=\""iPad Pro M4 11 inch WiFi 256GB - So Sánh\"" src=\""https://cdn.tgdd.vn/Products/Images/522/325513/s16/ipad-pro-m4-11-inch-wifi-256gb-4.jpg\"" /><img alt=\""iPad Pro M4 11 inch WiFi 256GB - Ph? Ki?n\"" src=\""https://cdn.tgdd.vn/Products/Images/522/325513/s16/ipad-pro-m4-11-inch-wifi-256gb-5.jpg\"" /></p>\r\n\r\n<p>&nbsp;</p>\r\n\r\n<p><strong>N?i dung qu?ng c&aacute;o</strong></p>\r\n\r\n<p>iPad Pro m?i m?ng xu?t ch&uacute;ng, s? h?u hi?u nang vu?t tr?i v?i chip Apple M4, m&agrave;n h&igrave;nh Ultra Retina XDR d?t ph&aacute; c&ugrave;ng Wi-Fi 6E1&nbsp;v&agrave; 5G si&ecirc;u nhanh.2&nbsp;Khi k?t h?p c&ugrave;ng Apple Pencil Pro v&agrave; Magic Keyboard, iPad Pro mang d?n s? linh ho?t, s&aacute;ng t?o v&agrave; nang su?t kh&ocirc;ng gi?i h?n ngay tr&ecirc;n d?u ng&oacute;n tay.</p>\r\n\r\n<p><strong>Ph&aacute;p l&yacute;</strong></p>\r\n\r\n<p>Ph? ki?n du?c b&aacute;n ri&ecirc;ng v&agrave; t&ugrave;y thu?c ngu?n h&agrave;ng c&oacute; s?n. Kh? nang tuong th&iacute;ch t&ugrave;y thu?c th? h? s?n ph?m. ?ng d?ng c&oacute; s?n tr&ecirc;n App Store. N?i dung du?c cung c?p c&oacute; th? thay d?i. Ph?n m?m b&ecirc;n th? ba du?c b&aacute;n ri&ecirc;ng.</p>\r\n\r\n<p>1Wi-Fi 6E kh? d?ng t?i c&aacute;c qu?c gia v&agrave; khu v?c c&oacute; h? tr?.</p>\r\n\r\n<p>2C?n c&oacute; g&oacute;i cu?c d? li?u. M?ng 5G ch? kh? d?ng ? m?t s? th? tru?ng v&agrave; du?c cung c?p qua m?t s? nh&agrave; m?ng. T?c d? c&oacute; th? thay d?i t&ugrave;y d?a di?m v&agrave; nh&agrave; m?ng. Ð? bi?t th&ocirc;ng tin v? h? tr? m?ng 5G, vui l&ograve;ng li&ecirc;n h? nh&agrave; m?ng v&agrave; truy c?p apple.com/vn/ipad/cellular.</p>",NULL
161,ipad-pro-m4-13-inch-wifi-1755235358,iPad Pro M4 13 inch WiFi,"<p><img alt=\""iPad Pro M4 13 inch WiFi 256GB - T?ng Quan\"" src=\""https://cdn.tgdd.vn/Products/Images/522/325517/s16/ipad-pro-m4-13-inch-wifi-256gb-1.jpg\"" /><img alt=\""iPad Pro M4 13 inch WiFi 256GB - Thông S? K? Thu?t\"" src=\""https://cdn.tgdd.vn/Products/Images/522/325517/s16/ipad-pro-m4-13-inch-wifi-256gb-2.jpg\"" /><img alt=\""iPad Pro M4 13 inch WiFi 256GB - Lý Do Dùng iPad\"" src=\""https://cdn.tgdd.vn/Products/Images/522/325517/s16/ipad-pro-m4-13-inch-wifi-256gb-3.jpg\"" /><img alt=\""iPad Pro M4 13 inch WiFi 256GB - So Sánh\"" src=\""https://cdn.tgdd.vn/Products/Images/522/325517/s16/ipad-pro-m4-13-inch-wifi-256gb-4.jpg\"" /><img alt=\""iPad Pro M4 13 inch WiFi 256GB - Ph? Ki?n\"" src=\""https://cdn.tgdd.vn/Products/Images/522/325517/s16/ipad-pro-m4-13-inch-wifi-256gb-5.jpg\"" /></p>\r\n\r\n<p>&nbsp;</p>\r\n\r\n<p><strong>N?i dung qu?ng c&aacute;o</strong></p>\r\n\r\n<p>iPad Pro m?i m?ng xu?t ch&uacute;ng, s? h?u hi?u nang vu?t tr?i v?i chip Apple M4, m&agrave;n h&igrave;nh Ultra Retina XDR d?t ph&aacute; c&ugrave;ng Wi-Fi 6E1&nbsp;v&agrave; 5G si&ecirc;u nhanh.2&nbsp;Khi k?t h?p c&ugrave;ng Apple Pencil Pro v&agrave; Magic Keyboard, iPad Pro mang d?n s? linh ho?t, s&aacute;ng t?o v&agrave; nang su?t kh&ocirc;ng gi?i h?n ngay tr&ecirc;n d?u ng&oacute;n tay.</p>\r\n\r\n<p><strong>Ph&aacute;p l&yacute;</strong></p>\r\n\r\n<p>Ph? ki?n du?c b&aacute;n ri&ecirc;ng v&agrave; t&ugrave;y thu?c ngu?n h&agrave;ng c&oacute; s?n. Kh? nang tuong th&iacute;ch t&ugrave;y thu?c th? h? s?n ph?m. ?ng d?ng c&oacute; s?n tr&ecirc;n App Store. N?i dung du?c cung c?p c&oacute; th? thay d?i. Ph?n m?m b&ecirc;n th? ba du?c b&aacute;n ri&ecirc;ng.</p>\r\n\r\n<p>1Wi-Fi 6E kh? d?ng t?i c&aacute;c qu?c gia v&agrave; khu v?c c&oacute; h? tr?.</p>\r\n\r\n<p>2C?n c&oacute; g&oacute;i cu?c d? li?u. M?ng 5G ch? kh? d?ng ? m?t s? th? tru?ng v&agrave; du?c cung c?p qua m?t s? nh&agrave; m?ng. T?c d? c&oacute; th? thay d?i t&ugrave;y d?a di?m v&agrave; nh&agrave; m?ng. Ð? bi?t th&ocirc;ng tin v? h? tr? m?ng 5G, vui l&ograve;ng li&ecirc;n h? nh&agrave; m?ng v&agrave; truy c?p apple.com/vn/ipad/cellular.</p>",NULL
162,ipad-a16-5g-1755235459,iPad A16 5G,"<p><a href=\""https://www.topzone.vn/ipad/ipad-11-5g-128gb\""><img alt=\""iPad 11 (A16) 5G 128GB - T?ng Quan\"" src=\""https://cdnv2.tgdd.vn/mwg-static//522/335311/s16/ipad-11-5g-128gb-100325-112743-719.jpg\"" /><img alt=\""iPad 11 (A16) 5G 128GB - Thông S? K? Thu?t\"" src=\""https://cdnv2.tgdd.vn/mwg-static//522/335311/s16/ipad-11-5g-128gb-100325-112744-440.jpg\"" /><img alt=\""iPad 11 (A16) 5G 128GB - So Sánh\"" src=\""https://cdnv2.tgdd.vn/mwg-static//522/335311/s16/ipad-11-5g-128gb-100325-112743-252.jpg\"" /></a></p>\r\n\r\n<p>&nbsp;</p>\r\n\r\n<p><strong>N?i dung t&iacute;nh nang</strong></p>\r\n\r\n<p>iPad 11 inch hi?n gi&agrave;u nang l?c hon bao gi? h?t v?i chip A16 si&ecirc;u nhanh, m&agrave;n h&igrave;nh Liquid Retina,1&nbsp;camera ti&ecirc;n ti?n, k?t n?i Wi-Fi 6 v&agrave; 5G t?c d? cao,2&nbsp;d?u n?i USB-C v&agrave; b?n m&agrave;u l?ng l?y. iPad mang d?n m?t c&ocirc;ng c? m?nh m? d? s&aacute;ng t?o, duy tr&igrave; k?t n?i v&agrave; ho&agrave;n th&agrave;nh m?i vi?c, v?i m?c gi&aacute; v&ocirc; c&ugrave;ng ph?i chang.</p>\r\n\r\n<p><strong>Ph&aacute;p l&yacute;</strong></p>\r\n\r\n<p>Ph? ki?n du?c b&aacute;n ri&ecirc;ng v&agrave; t&ugrave;y thu?c ngu?n h&agrave;ng c&oacute; s?n. Kh? nang tuong th&iacute;ch t&ugrave;y thu?c th? h? s?n ph?m. ?ng d?ng c&oacute; s?n tr&ecirc;n App Store. N?i dung du?c cung c?p c&oacute; th? thay d?i. Ph?n m?m b&ecirc;n th? ba du?c b&aacute;n ri&ecirc;ng.</p>\r\n\r\n<p>1M&agrave;n h&igrave;nh c&oacute; c&aacute;c g&oacute;c bo tr&ograve;n. Khi t&iacute;nh theo du?ng ch&eacute;o h&igrave;nh ch? nh?t, iPad 11 inch c&oacute; k&iacute;ch thu?c l&agrave; 10,86 inch. Di?n t&iacute;ch hi?n th? th?c t? nh? hon.</p>\r\n\r\n<p>2C?n c&oacute; g&oacute;i cu?c d? li?u. M?ng 5G ch? kh? d?ng ? m?t s? th? tru?ng v&agrave; du?c cung c?p qua m?t s? nh&agrave; m?ng. T?c d? c&oacute; th? thay d?i t&ugrave;y d?a di?m v&agrave; nh&agrave; m?ng. Ð? bi?t th&ocirc;ng tin v? h? tr? m?ng 5G, vui l&ograve;ng li&ecirc;n h? nh&agrave; m?ng v&agrave; truy c?p apple.com/vn/ipad/cellular.</p>",NULL
163,ipad-mini-7-5g-1755235534,iPad mini 7 5G,<p>&nbsp;</p>\r\n\r\n<p><img alt=\"iPad mini 7 5G 128GB - T?ng Quan\" src=\"https://cdnv2.tgdd.vn/mwg-static/topzone/Products/Images/522/331232/ipad-mini-7-5g-221024-043009-099.jpg\" /><a href=\"https://www.topzone.vn/ipad/ipad-mini-7-5g\"><img alt=\"iPad mini 7 5G 128GB - Thông S? K? Thu?t\" src=\"https://cdnv2.tgdd.vn/mwg-static//522/331232/s16/ipad-mini-7-5g-221024-041118-535.jpg\" /><img alt=\"iPad mini 7 5G 128GB - So Sánh\" src=\"https://cdnv2.tgdd.vn/mwg-static//522/331232/s16/ipad-mini-7-5g-221024-041119-193.jpg\" /></a><br />\r\n&nbsp;</p>,NULL
164,ipad-pro-m4-11-inch-5g-1755235609,iPad Pro M4 11 inch 5G,"<p><img alt=\""iPad Pro M4 11 inch 5G 256GB - T?ng Quan\"" src=\""https://cdn.tgdd.vn/Products/Images/522/325529/s16/ipad-pro-m4-11-inch-wifi-cellular-256gb-01.jpg\"" /><img alt=\""iPad Pro M4 11 inch 5G 256GB - Thông S? K? Thu?t\"" src=\""https://cdn.tgdd.vn/Products/Images/522/325529/s16/ipad-pro-m4-11-inch-wifi-cellular-256gb-02.jpg\"" /><img alt=\""iPad Pro M4 11 inch 5G 256GB - Lý Do Dùng iPad\"" src=\""https://cdn.tgdd.vn/Products/Images/522/325529/s16/ipad-pro-m4-11-inch-wifi-cellular-256gb-03.jpg\"" /><img alt=\""iPad Pro M4 11 inch 5G 256GB - So Sánh\"" src=\""https://cdn.tgdd.vn/Products/Images/522/325529/s16/ipad-pro-m4-11-inch-wifi-cellular-256gb-04.jpg\"" /><img alt=\""iPad Pro M4 11 inch 5G 256GB - Ph? Ki?n\"" src=\""https://cdn.tgdd.vn/Products/Images/522/325529/s16/ipad-pro-m4-11-inch-wifi-cellular-256gb-05.jpg\"" /></p>\r\n\r\n<p>&nbsp;</p>\r\n\r\n<p><strong>N?i dung qu?ng c&aacute;o</strong></p>\r\n\r\n<p>iPad Pro m?i m?ng xu?t ch&uacute;ng, s? h?u hi?u nang vu?t tr?i v?i chip Apple M4, m&agrave;n h&igrave;nh Ultra Retina XDR d?t ph&aacute; c&ugrave;ng Wi-Fi 6E1&nbsp;v&agrave; 5G si&ecirc;u nhanh.2&nbsp;Khi k?t h?p c&ugrave;ng Apple Pencil Pro v&agrave; Magic Keyboard, iPad Pro mang d?n s? linh ho?t, s&aacute;ng t?o v&agrave; nang su?t kh&ocirc;ng gi?i h?n ngay tr&ecirc;n d?u ng&oacute;n tay.</p>\r\n\r\n<p><strong>Ph&aacute;p l&yacute;</strong></p>\r\n\r\n<p>Ph? ki?n du?c b&aacute;n ri&ecirc;ng v&agrave; t&ugrave;y thu?c ngu?n h&agrave;ng c&oacute; s?n. Kh? nang tuong th&iacute;ch t&ugrave;y thu?c th? h? s?n ph?m. ?ng d?ng c&oacute; s?n tr&ecirc;n App Store. N?i dung du?c cung c?p c&oacute; th? thay d?i. Ph?n m?m b&ecirc;n th? ba du?c b&aacute;n ri&ecirc;ng.</p>\r\n\r\n<p>1Wi-Fi 6E kh? d?ng t?i c&aacute;c qu?c gia v&agrave; khu v?c c&oacute; h? tr?.</p>\r\n\r\n<p>2C?n c&oacute; g&oacute;i cu?c d? li?u. M?ng 5G ch? kh? d?ng ? m?t s? th? tru?ng v&agrave; du?c cung c?p qua m?t s? nh&agrave; m?ng. T?c d? c&oacute; th? thay d?i t&ugrave;y d?a di?m v&agrave; nh&agrave; m?ng. Ð? bi?t th&ocirc;ng tin v? h? tr? m?ng 5G, vui l&ograve;ng li&ecirc;n h? nh&agrave; m?ng v&agrave; truy c?p apple.com/vn/ipad/cellular.</p>",NULL
165,ipad-air-6-m2-11-inch-wifi-1755235763,iPad Air 6 M2 11 inch WiFi,"<p><img alt=\""iPad Air M2 11 inch WiFi 512GB - T?ng Quan\"" src=\""https://cdn.tgdd.vn/Products/Images/522/325503/s16/ipad-air-m2-11-inch-wifi-512gb-desktop-1.jpg\"" /><img alt=\""iPad Air M2 11 inch WiFi 512GB - Thông S? K? Thu?t\"" src=\""https://cdn.tgdd.vn/Products/Images/522/325503/s16/ipad-air-m2-11-inch-wifi-512gb-desktop-2.jpg\"" /><img alt=\""iPad Air M2 11 inch WiFi 512GB - Lý Do Dùng iPad\"" src=\""https://cdn.tgdd.vn/Products/Images/522/325503/s16/ipad-air-m2-11-inch-wifi-512gb-desktop-3.jpg\"" /><img alt=\""iPad Air M2 11 inch WiFi 512GB - So Sánh\"" src=\""https://cdn.tgdd.vn/Products/Images/522/325503/s16/ipad-air-m2-11-inch-wifi-512gb-desktop-4.jpg\"" /><img alt=\""iPad Air M2 11 inch WiFi 512GB - Ph? Ki?n\"" src=\""https://cdn.tgdd.vn/Products/Images/522/325503/s16/ipad-air-m2-11-inch-wifi-512gb-desktop-5.jpg\"" /><img alt=\""iPad Air M2 11 inch WiFi 512GB - H? Tr?\"" src=\""https://cdn.tgdd.vn/Products/Images/522/325503/s16/ipad-air-m2-11-inch-wifi-512gb-desktop-6.jpg\"" /></p>\r\n\r\n<p>&nbsp;</p>\r\n\r\n<p><strong>N?i dung qu?ng c&aacute;o</strong></p>\r\n\r\n<p>iPad Air 11 inch du?c thi?t k? m?i, si&ecirc;u m?nh m? v?i chip Apple M2 nhanh kh&ocirc;ng ng?.1&nbsp;Thi?t b? s? h?u m&agrave;n h&igrave;nh Liquid Retina tuy?t d?p, camera tr&ecirc;n c?nh ngang m?i ho&agrave;n h?o cho c&aacute;c cu?c g?i FaceTime v&agrave; video, c&ugrave;ng Wi-Fi 6E2&nbsp;v&agrave; 5G si&ecirc;u nhanh.3&nbsp;iPad Air tuong th&iacute;ch v?i Apple Pencil Pro v&agrave; Magic Keyboard m?i. Nh? d&oacute; b?n c&oacute; th? l&agrave;m nhi?u vi?c c&ugrave;ng l&uacute;c, h?c t?p, l&agrave;m vi?c, gi?i tr&iacute; v&agrave; s&aacute;ng t?o ? b?t c? d&acirc;u</p>\r\n\r\n<p><strong>Ph&aacute;p l&yacute;</strong></p>\r\n\r\n<p>Ph? ki?n du?c b&aacute;n ri&ecirc;ng v&agrave; t&ugrave;y thu?c ngu?n h&agrave;ng c&oacute; s?n. Kh? nang tuong th&iacute;ch t&ugrave;y thu?c th? h? s?n ph?m. ?ng d?ng c&oacute; s?n tr&ecirc;n App Store. N?i dung du?c cung c?p c&oacute; th? thay d?i. Ph?n m?m b&ecirc;n th? ba du?c b&aacute;n ri&ecirc;ng.</p>\r\n\r\n<p>1M&agrave;n h&igrave;nh c&oacute; c&aacute;c g&oacute;c bo tr&ograve;n. Khi t&iacute;nh theo du?ng ch&eacute;o h&igrave;nh ch? nh?t, iPad Air 11 inch c&oacute; k&iacute;ch thu?c l&agrave; 10,86 inch. Di?n t&iacute;ch hi?n th? th?c t? nh? hon.</p>\r\n\r\n<p>2Wi-Fi 6E kh? d?ng t?i c&aacute;c qu?c gia v&agrave; khu v?c c&oacute; h? tr?.<br />\r\n<br />\r\n3C?n c&oacute; g&oacute;i cu?c d? li?u. M?ng 5G ch? kh? d?ng ? m?t s? th? tru?ng v&agrave; du?c cung c?p qua m?t s? nh&agrave; m?ng. T?c d? c&oacute; th? thay d?i t&ugrave;y d?a di?m v&agrave; nh&agrave; m?ng. Ð? bi?t th&ocirc;ng tin v? h? tr? m?ng 5G, vui l&ograve;ng li&ecirc;n h? nh&agrave; m?ng v&agrave; truy c?p apple.com/vn/ipad/cellular.</p>",NULL
